Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-03-22 22:07:56,2025-03-23 22:43:34,UTC-07:00,2025-03-23 15:55:30,2025-03-23 16:20:59,25,Powerlifting,4.6,71.0,144,104,41,0,0,0,0,false,,,
2025-03-22 00:09:10,2025-03-22 22:07:56,UTC-07:00,2025-03-22 14:34:30,2025-03-22 15:44:59,70,Walking,9.9,533.0,155,130,86,6,0,0,0,false,,,
2025-03-22 00:09:10,2025-03-22 22:07:56,UTC-07:00,2025-03-22 11:10:30,2025-03-22 11:38:59,28,Activity,5.3,124.0,151,114,67,1,0,0,0,false,,,
2025-03-16 23:27:40,2025-03-17 23:08:57,UTC-07:00,2025-03-17 17:48:00,2025-03-17 18:22:29,34,Activity,6.0,179.0,169,118,65,5,1,0,0,false,,,
2025-03-15 23:43:25,2025-03-16 23:27:40,UTC-07:00,2025-03-16 14:04:30,2025-03-16 14:59:59,55,Activity,8.2,375.0,161,126,87,5,0,0,0,false,,,
2025-03-15 23:43:25,2025-03-16 23:27:40,UTC-07:00,2025-03-16 12:48:00,2025-03-16 13:26:59,38,Running,11.0,400.0,188,142,23,17,38,7,0,false,,,
2025-02-25 23:50:29,2025-02-27 01:25:16,UTC-07:00,2025-02-26 22:10:30,2025-02-26 22:47:59,37,Commuting,12.8,516.0,195,160,5,19,47,28,1,false,,,
2025-02-25 02:20:19,2025-02-25 23:50:29,UTC-07:00,2025-02-25 17:19:30,2025-02-25 17:58:29,38,Activity,12.6,500.0,201,155,12,27,33,24,2,false,,,
2025-02-25 02:20:19,2025-02-25 23:50:29,UTC-07:00,2025-02-25 13:00:00,2025-02-25 13:58:29,58,Activity,10.6,515.0,178,137,63,25,10,1,0,false,,,
2025-02-25 02:20:19,2025-02-25 23:50:29,UTC-07:00,2025-02-25 12:04:30,2025-02-25 12:47:55,43,Activity,13.5,564.0,196,156,14,19,31,25,7,false,,,
2025-02-23 01:02:51,2025-02-23 23:50:29,UTC-07:00,2025-02-23 17:30:00,2025-02-23 18:17:59,47,Hiking,6.8,253.0,155,119,72,6,0,0,0,false,,,
2025-02-23 01:02:51,2025-02-23 23:50:29,UTC-07:00,2025-02-23 14:03:00,2025-02-23 14:19:29,16,Hiking,5.1,99.0,147,123,91,0,0,0,0,false,,,
2025-02-23 01:02:51,2025-02-23 23:50:29,UTC-07:00,2025-02-23 11:58:30,2025-02-23 13:02:59,64,Hiking,6.3,225.0,148,110,49,0,0,0,0,false,,,
2025-02-20 00:07:45,2025-02-21 00:45:16,UTC-07:00,2025-02-20 20:24:00,2025-02-20 20:56:59,32,Activity,6.2,191.0,157,121,72,9,0,0,0,false,,,
